hpi_0,hpi_0_5,hpi_2,hpi_6,hpi_18,log2_fold_change_6hpi,log10_abundance_6hpi,hsf1_target
ABCB6,10.3445222155757,15.4276860103841,31.0259987133276,26.0903613420454,62.624987895832,1.33464991239184,1.21559526529287,unknown
CACYBP,2008.15208007699,2258.05661980726,2890.53590678612,5344.04230879546,2330.19840145589,1.41206289900167,3.51533324360966,yes
ACTL8,14.1717923969931,10.4351276181976,33.5109134342004,51.0359564335241,15.8206797071766,1.84849179261054,1.42965051987223,unknown
SLC2A1,242.711476869312,214.62837348378,360.276597346122,557.885517384611,582.709796031341,1.20072677028301,2.56581770011811,unknown
PTCH2,5.97042870004762,6.94029022971442,8.04040443632226,22.6886929221856,62.624987895832,1.92606706742557,1.06590749676308,unknown
FAAH,9.7977662665417,18.4232054519055,17.3589431845097,22.6886929221856,1,1.21144871836033,1.17346827602333,unknown
F3,87.4357929076418,97.3047259957019,173.287135725006,327.705507283756,515.098643705278,1.90610402786889,2.22858649639562,unknown
PTBP2,160.699676011635,129.256700418262,180.120637882882,332.241073964948,1061.18878539486,1.04786341999305,2.36373416156687,unknown
STAG1,398.53389297748,365.401729423176,432.960207151351,1006.90662283119,686.726960337102,1.33715557148773,2.80172722945273,unknown
ABCG2,180.382508620342,200.649386498408,286.350532142454,378.730632516448,93.8297313926769,1.07011266436429,2.41726242782013,unknown
HELLS,571.852156918577,604.54224632132,753.513560869441,1148.64308304051,1003.97933792551,1.0062164651586,2.9087344325963,unknown
TCP1,1083.05902044501,1173.68668737769,1620.12582101725,2612.49724502266,1352.4368872126,1.27031765220368,3.22585398247199,yes
MSANTD2,39.3221741377143,43.8849999147768,52.768986722931,117.935552481582,88.6289209244139,1.58458369805944,1.8331411340063,unknown
HSPH1,886.230709617554,1046.87731209203,2013.36278163139,7978.07268800426,4675.78590600892,3.17028604284894,3.42472239197091,yes
EGR1,359.168230267098,511.182587606568,354.064322984403,2028.54302848311,13699.2766934586,2.49771225539967,2.93124106947816,unknown
UTP20,785.082827571234,815.225539721415,1469.16755647846,1908.35051013751,868.757009781681,1.28140940412656,3.0877868116516,unknown
CRY2,57.3647873392094,52.8714998852775,81.3454626001627,179.165699876332,151.03886661954,1.64305713581364,2.00595012915684,unknown
PILRB,182.02274465577,186.171149858032,277.032120502934,515.931525294841,728.333827712044,1.50306086942809,2.486358862155,unknown
P4HA1,611.217819251048,623.01447823431,601.934068311542,1398.09925308186,1087.19307984789,1.19370827437561,2.96586700536588,unknown
MORF4L2,1817.33796797801,1749.8206203183,2543.89100324658,4162.5271753197,3952.86647338563,1.19563295029705,3.43939639092057,unknown
SLC36A1,25.6535113708474,30.9044911507671,44.0717947918925,57.8393037990236,15.8206797071766,1.17289387609505,1.58568493757817,unknown
